plaza_limpia,primera_fecha,ultima_fecha,registros,placas_unicas,litros_total,recaudo_total,cobertura_media_14d,cobertura_media_30d
AGUASCALIENTES,2019-01-01,2025-07-31,252288,330,9592753.7564,85349128.9,0.34966065209119873,0.741964206843272
EDOMEX - ECATEPEC,2024-08-28,2025-07-31,31609,664,1627450.3933,0.0,0.4959650984851678,0.9541828374694911
EDOMEX - TLANEPANTLA,2023-09-13,2025-07-31,54899,990,1764265.5893,0.0,0.31095501119065033,0.6251221469808206
GUADALAJARA,2023-05-08,2025-06-08,15,4,441.4854,0.0,0.2577690889037037,0.5454371391185185
LEON,2024-09-14,2024-09-14,1,1,19.589,0.0,0.23038833666666667,0.5420044672222222
