placa,behavioral_default_risk,unauthorized_usage_risk,operational_stress_risk,fraud_risk,compliance_risk,inconsistency_risk,total_harsh_events,total_distance,total_engine_hours
 A-05501-A,0.55,0.0,1.0,0.0,1.0,1.0,235.34,28.72149587851407,0.1
A-05355-A,0.55,0.0,1.0,0.0,1.0,1.0,120.84347826086956,19.52092116900146,0.1
A-05502-A,0.55,0.0,1.0,0.0,1.0,1.0,487.07272727272726,31.3424812235785,0.1
A-05503-A,0.4,0.0,1.0,0.0,0.0,1.0,233.26315789473682,30.254041080794096,0.1
A-05504-A,0.55,0.0,1.0,0.0,1.0,1.0,145.95652173913044,30.9576705773754,0.1
A-05507-A,0.55,0.0,1.0,0.0,1.0,1.0,703.875,12.253970924625639,0.1
A-05508-A,0.55,0.0,1.0,0.0,1.0,1.0,313.28000000000003,21.8381269098034,0.1
