placa,hase_efficiency_score,fuel_efficiency_proxy,idle_penalty,harsh_driving_penalty,speed_compliance,driver_category,total_distance,total_engine_hours
 A-05501-A,50.0,287.21495878514065,174.25,819.3862917009583,0.0,average,28.72149587851407,0.1
A-05355-A,50.0,195.2092116900146,69.95652173913044,619.0459825879773,0.0,average,19.52092116900146,0.1
A-05502-A,50.0,313.424812235785,339.0272727272727,1554.033721192148,0.0,average,31.3424812235785,0.1
A-05503-A,70.0,302.54041080794093,207.35087719298247,771.0148778862379,1.0,average,30.254041080794096,0.1
A-05504-A,50.0,309.576705773754,181.68695652173912,471.47126711077203,0.0,average,30.9576705773754,0.1
A-05507-A,50.0,122.53970924625638,538.875,5744.056390614486,0.0,average,12.253970924625639,0.1
A-05508-A,50.0,218.38126909803398,333.44,1434.5552679216496,0.0,average,21.8381269098034,0.1
