placa,overall_health_score,health_degradation_rate,maintenance_risk_score,days_to_maintenance,electrical_health,operational_efficiency
 A-05501-A,0.4613233748510815,0.5386766251489186,1.0,7,0.522625118035883,0.40002163166628
 A-05501-A,0.4824473750179415,0.5175526249820586,1.0,7,0.522625118035883,0.442269632
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.4626521496779415,0.5373478503220586,1.0,7,0.522625118035883,0.40267918132
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.4828346262479415,0.5171653737520585,1.0,7,0.522625118035883,0.44304413446
 A-05501-A,0.4638699744319415,0.5361300255680586,1.0,7,0.522625118035883,0.40511483082800004
 A-05501-A,0.48394489940194146,0.5160551005980585,1.0,7,0.522625118035883,0.44526468076799997
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.48647275081194147,0.5135272491880585,1.0,7,0.522625118035883,0.450320383588
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.4614238453739415,0.5385761546260586,1.0,7,0.522625118035883,0.400222572712
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.48281732301794145,0.5171826769820586,1.0,7,0.522625118035883,0.443009528
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.4828798146979415,0.5171201853020585,1.0,7,0.522625118035883,0.44313451136
 A-05501-A,0.4847094463379415,0.5152905536620584,1.0,7,0.522625118035883,0.44679377464000003
 A-05501-A,0.4827428530179415,0.5172571469820585,1.0,7,0.522625118035883,0.442860588
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5610468270179415,0.4389531729820585,1.0,7,0.522625118035883,0.599468536
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
 A-05501-A,0.5613125590179415,0.4386874409820585,1.0,7,0.522625118035883,0.6
