placa,distance_per_engine_hour,idle_time_ratio,speed_efficiency,after_hours_efficiency,harsh_driving_penalty,operational_efficiency_score,total_distance,total_engine_hours
 A-05501-A,69.42679691400001,0.0,0.0,1.0,1.0,0.6,69.42679691400001,1
 A-05501-A,10.765374906,0.0,0.0,1.0,1.0,0.443061499624,10.765374906,1
 A-05501-A,70.26491,0.0,0.0,1.0,1.0,0.6,70.26491,1
 A-05501-A,10.57241,0.0,0.0,1.0,1.0,0.44228964,10.57241,1
 A-05501-A,10.732305618,0.0,0.0,1.0,1.0,0.442929222472,10.732305618,1
 A-05501-A,69.29324618000001,0.0,0.0,1.0,1.0,0.6,69.29324618000001,1
 A-05501-A,10.708569,0.0,0.0,1.0,1.0,0.44283427599999997,10.708569,1
 A-05501-A,128.825318,0.0,0.0,1.0,1.0,0.6,128.825318,1
 A-05501-A,10.707465,0.0,0.0,1.0,1.0,0.44282985999999996,10.707465,1
 A-05501-A,69.07368,0.0,0.0,1.0,1.0,0.6,69.07368,1
 A-05501-A,33.797808246,0.0,0.0,1.0,1.0,0.5351912329840001,33.797808246,1
 A-05501-A,59.475636507,0.0,0.0,1.0,1.0,0.6,59.475636507,1
 A-05501-A,0.17565759,0.0,0.0,1.0,1.0,0.40070263036,0.17565759,1
 A-05501-A,58.49724,0.0,0.0,1.0,1.0,0.6,58.49724,1
 A-05501-A,78.98079,0.0,0.0,1.0,1.0,0.6,78.98079,1
 A-05501-A,4.5740956,0.0,0.0,1.0,1.0,0.4182963824,4.5740956,1
 A-05501-A,69.01278,0.0,0.0,1.0,1.0,0.6,69.01278,1
 A-05501-A,0.041154455,0.0,0.0,1.0,1.0,0.40016461781999996,0.041154455,1
 A-05501-A,68.658107097,0.0,0.0,1.0,1.0,0.6,68.658107097,1
 A-05501-A,0.841414435,0.0,0.0,1.0,1.0,0.40336565774000005,0.841414435,1
 A-05501-A,12.212033546,0.0,0.0,1.0,1.0,0.448848134184,12.212033546,1
 A-05501-A,69.30415,0.0,0.0,1.0,1.0,0.6,69.30415,1
 A-05501-A,69.241766292,0.0,0.0,1.0,1.0,0.6,69.241766292,1
 A-05501-A,20.781317,0.0,0.0,1.0,1.0,0.48312526800000005,20.781317,1
 A-05501-A,10.708066218,0.0,0.0,1.0,1.0,0.442832264872,10.708066218,1
 A-05501-A,69.21431,0.0,0.0,1.0,1.0,0.6,69.21431,1
 A-05501-A,10.723849363,0.0,0.0,1.0,1.0,0.44289539745199996,10.723849363,1
 A-05501-A,127.86929101,0.0,0.0,1.0,1.0,0.6,127.86929101,1
 A-05501-A,10.703839,0.0,0.0,1.0,1.0,0.442815356,10.703839,1
 A-05501-A,92.91046140000002,0.0,0.0,1.0,1.0,0.6,92.91046140000002,1
 A-05501-A,0.7732393,0.0,0.0,1.0,1.0,0.4030929572,0.7732393,1
 A-05501-A,24609.7052315876,0.0,0.5655372585984344,1.0,0.09562893898376773,0.8939816639229333,24609.7052315876,1
A-05355-A,60.1213170405,0.0,0.0,1.0,1.0,0.6,60.1213170405,1
A-05355-A,121.050468202,0.0,0.0,1.0,1.0,0.6,121.050468202,1
A-05355-A,36.8470924,0.0,0.0,1.0,1.0,0.5473883695999999,36.8470924,1
A-05355-A,126.927968,0.0,0.0,1.0,1.0,0.6,126.927968,1
A-05355-A,137.9893484,0.0,0.0,1.0,1.0,0.6,137.9893484,1
A-05355-A,156.590923608,0.0,0.0,1.0,1.0,0.6,156.590923608,1
A-05355-A,47.365745967,0.0,0.0,1.0,1.0,0.589462983868,47.365745967,1
A-05355-A,0.0,0.0,0.0,1.0,1.0,0.4,0.0,1
A-05355-A,0.037207916,0.0,0.0,1.0,1.0,0.40014883166399995,0.037207916,1
A-05355-A,0.0,0.0,0.0,1.0,1.0,0.4,0.0,1
A-05355-A,0.0,0.0,0.0,1.0,1.0,0.4,0.0,1
A-05355-A,0.067339145,0.0,0.0,1.0,1.0,0.40026935657999996,0.067339145,1
A-05355-A,0.031320713,0.0,0.0,1.0,1.0,0.400125282852,0.031320713,1
