placa,voltage_stability,ignition_regularity,connection_reliability,electrical_health_score,disconnection_rate,total_days_sample
 A-05501-A,0.0,0.9978753541076488,0.5700000000000001,0.522625118035883,8.17,100
A-05355-A,0.0,0.9872306464485235,0.6956521739130435,0.5609609401205223,3.869565217391304,115
A-05502-A,0.0,0.9919614147909968,0.4727272727272728,0.4882295625060899,9.89090909090909,110
A-05503-A,0.0,0.9935323383084577,0.49122807017543857,0.4949201361612987,10.385964912280702,114
A-05504-A,0.0,0.9935691318327975,0.4956521739130435,0.4964071019152803,5.956521739130435,115
A-05507-A,0.0,0.9992831541218637,0.0,0.3330943847072879,19.525,40
A-05508-A,0.0,0.9962616822429906,0.41333333333333333,0.469865005192108,12.64,75
