placa,default_flag,enhanced_default_risk,risk_category,alert_type,priority,recommendation,action_items,risk_factors,confidence,generated_at,core_risk_component,behavioral_risk_component
 A-05501-A,1,0.6242822117522311,medium_risk,default_risk_high,high,Monitoreo estrecho y ajuste de límites de crédito,Revisar patrones de consumo y eficiencia; Programa de capacitación en conducción,consumption_patterns;harsh_driving,0.24856442350446217,2025-12-21,0.6561174453603302,0.55
A-05355-A,1,0.6257134122625997,medium_risk,default_risk_high,high,Monitoreo estrecho y ajuste de límites de crédito,Revisar patrones de consumo y eficiencia; Programa de capacitación en conducción,consumption_patterns;harsh_driving,0.2514268245251994,2025-12-21,0.6581620175179996,0.55
A-05502-A,1,0.6238745029207766,medium_risk,default_risk_high,high,Monitoreo estrecho y ajuste de límites de crédito,Revisar patrones de consumo y eficiencia; Programa de capacitación en conducción,consumption_patterns;harsh_driving,0.24774900584155324,2025-12-21,0.6555350041725381,0.55
A-05503-A,0,0.5790438158318765,moderate_risk,default_risk_moderate,medium,Seguimiento de patrones y alertas tempranas,Revisar patrones de consumo y eficiencia; Programa de capacitación en conducción,consumption_patterns;harsh_driving,0.15808763166375295,2025-12-21,0.6557768797598236,0.4
A-05504-A,1,0.6239343623546304,medium_risk,default_risk_high,high,Monitoreo estrecho y ajuste de límites de crédito,Revisar patrones de consumo y eficiencia; Programa de capacitación en conducción,consumption_patterns;harsh_driving,0.2478687247092608,2025-12-21,0.655620517649472,0.55
A-05507-A,1,0.6268438267450581,medium_risk,default_risk_high,high,Monitoreo estrecho y ajuste de límites de crédito,Revisar patrones de consumo y eficiencia; Programa de capacitación en conducción,consumption_patterns;harsh_driving,0.25368765349011624,2025-12-21,0.6597768953500831,0.55
A-05508-A,1,0.6253529580362529,medium_risk,default_risk_high,high,Monitoreo estrecho y ajuste de límites de crédito,Revisar patrones de consumo y eficiencia; Programa de capacitación en conducción,consumption_patterns;harsh_driving,0.2507059160725058,2025-12-21,0.6576470829089327,0.55
