placa,fuel_efficiency_proxy,idle_risk,unauthorized_use_risk,tampering_risk,pto_risk,efficiency_factor,operational_risk_score,final_operational_risk,total_distance,total_engine_hours,idling_events,after_hours_events,disconnect_events,pto_events
 A-05501-A,287.21495878514065,1.0,0.0,1.0,0.0,0,0.5,0.25,28.72149587851407,0.1,17425,0,817,0
A-05355-A,195.2092116900146,1.0,0.0,1.0,0.0,0,0.5,0.25,19.52092116900146,0.1,8045,0,445,0
A-05502-A,313.424812235785,1.0,0.0,1.0,0.0,0,0.5,0.25,31.3424812235785,0.1,37293,0,1088,0
A-05503-A,302.54041080794093,1.0,0.0,1.0,0.0,0,0.5,0.25,30.254041080794096,0.1,23638,0,1184,0
A-05504-A,309.576705773754,1.0,0.0,1.0,0.0,0,0.5,0.25,30.9576705773754,0.1,20894,0,685,0
A-05507-A,122.53970924625638,1.0,0.0,1.0,0.0,0,0.5,0.25,12.253970924625639,0.1,21555,0,781,0
A-05508-A,218.38126909803398,1.0,0.0,1.0,0.0,0,0.5,0.25,21.8381269098034,0.1,25008,0,948,0
