plaza_limpia,primera_fecha,ultima_fecha,registros,placas_unicas,litros_total,recaudo_total,cobertura_media_14d,cobertura_media_30d
AGUASCALIENTES,2019-01-01,2025-07-31,252288,330,9592753.7564,85349128.9,0.5721719761492343,1.2141232475617179
EDOMEX - ECATEPEC,2024-08-28,2025-07-31,31609,664,1627450.3933,0.0,0.8115792520666382,1.5613900976773492
EDOMEX - TLANEPANTLA,2023-09-13,2025-07-31,54899,990,1764265.5893,0.0,0.5088354728574278,1.022927149604979
GUADALAJARA,2023-05-08,2025-06-08,15,4,441.4854,0.0,0.4218039636606061,0.8925335003757575
LEON,2024-09-14,2024-09-14,1,1,19.589,0.0,0.3769990963636364,0.8869164009090907
